"","plotID","plotN","uniqueID","class","rep","plot_type"
"1","B1grass",1.27654946760013,15,"B","B1","grass"
"2","B1mesq",3.38807788515014,17,"B","B1","mesq"
"3","B2grass",1.69907757637507,32,"B","B2","grass"
"4","C1mesq",3.27242404641364,78,"C","C1","mesq"
"5","D1mesq",2.83866001843547,25,"D","D1","mesq"
"6","F2mesq",3.68973304627649,3,"F","F2","mesq"
"13","A1grass",1.62,91,"A","A1","grass"
"210","A1mesq",3.2,92,"A","A1","mesq"
"35","A2grass",2.16,72,"A","A2","grass"
"41","A2mesq",3.44,73,"A","A2","mesq"
"11","B2mesq",3.56,34,"B","B2","mesq"
"12","C1grass",1.41,77,"C","C1","grass"
"15","C2grass",2.31,66,"C","C2","grass"
"16","C2mesq",3.29,68,"C","C2","mesq"
"17","D1grass",1.75,24,"D","D1","grass"
"20","D2cres",3.21,45,"D","D2","cres"
"21","D2grass",1.77,44,"D","D2","grass"
"22","D2mesq",3.02,46,"D","D2","mesq"
"23","E1cres",3.15,51,"E","E1","cres"
"24","E1grass",1.74,50,"E","E1","grass"
"25","E1mesq",3.24,52,"E","E1","mesq"
"26","E2cres",2.79,39,"E","E2","cres"
"27","E2grass",1.64,38,"E","E2","grass"
"28","E2mesq",3.24,40,"E","E2","mesq"
"29","E3cres",1.65,86,"E","E3","cres"
"30","E3grass",1.96,85,"E","E3","grass"
"31","E3mesq",3.53,87,"E","E3","mesq"
"32","F1grass",1.77,10,"F","F1","grass"
"33","F1mesq",3.48,11,"F","F1","mesq"
"34","F2grass",2.07,2,"F","F2","grass"
"37","G1grass",1.22,61,"G","G1","grass"
"38","G1mesq",3.22,62,"G","G1","mesq"
"39","G2grass",1.28,56,"G","G2","grass"
"40","G2mesq",3.26,57,"G","G2","mesq"
